Buses_1/test.json,377
Buses_1/train_0.json,1133
Buses_1/train_1.json,566
Buses_1/train_2.json,283
Buses_1/train_3.json,141
Buses_1/train_4.json,70

Events_1/test.json,521
Events_1/train_0.json,1498
Events_1/train_1.json,749
Events_1/train_2.json,374
Events_1/train_3.json,187
Events_1/train_4.json,93

Homes_1/test.json,587
Homes_1/train_0.json,2064
Homes_1/train_1.json,1032
Homes_1/train_2.json,516
Homes_1/train_3.json,258
Homes_1/train_4.json,129

RentalCars_1/test.json,328
RentalCars_1/train_0.json,874
RentalCars_1/train_1.json,437
RentalCars_1/train_2.json,218
RentalCars_1/train_3.json,109
RentalCars_1/train_4.json,54
